order_id,sku,warehouse,status,created_at,shipped_at
ORD-1001,SKU-AX12,BLR-01,pending,2026-01-02T09:10:00,
ORD-1002,SKU-BX44,DEL-02,shipped,2026-01-02T08:30:00,2026-01-02T17:45:00
ORD-1003,SKU-CM88,BLR-01,pending,2026-01-02T10:15:00,
ORD-1004,SKU-DK21,MUM-01,shipped,2026-01-02T07:50:00,2026-01-02T19:20:00
ORD-1005,SKU-AX12,DEL-02,delayed,2026-01-01T11:25:00,
ORD-1006,SKU-LP55,BLR-02,shipped,2026-01-01T09:00:00,2026-01-01T16:10:00
ORD-1007,SKU-ZT90,BLR-01,pending,2026-01-03T07:40:00,
ORD-1008,SKU-QW11,MUM-01,delayed,2026-01-01T15:55:00,
ORD-1009,SKU-RX77,DEL-02,shipped,2026-01-03T06:30:00,2026-01-03T12:00:00
ORD-1010,SKU-JK33,BLR-02,pending,2026-01-03T22:10:00,
ORD-1011,SKU-HH19,DEL-01,shipped,2026-01-02T08:45:00,2026-01-02T14:30:00
ORD-1012,SKU-PM72,MUM-02,delayed,2026-01-01T12:00:00,
ORD-1013,SKU-AX12,BLR-01,shipped,2026-01-03T05:10:00,2026-01-03T09:40:00
ORD-1014,SKU-TT48,DEL-02,pending,2026-01-03T01:20:00,
ORD-1015,SKU-NV66,MUM-01,delayed,2026-01-01T09:00:00,
ORD-1016,SKU-AX12,BLR-01,pending,2026-01-04T09:15:00,
ORD-1017,SKU-BX44,DEL-02,shipped,2026-01-04T08:10:00,2026-01-04T18:00:00
ORD-1018,SKU-CM88,BLR-02,pending,2026-01-04T11:30:00,
ORD-1019,SKU-DK21,MUM-02,shipped,2026-01-04T07:40:00,2026-01-04T19:10:00
ORD-1020,SKU-LP55,BLR-01,delayed,2026-01-02T10:00:00,
ORD-1021,SKU-ZT90,DEL-01,pending,2026-01-05T06:50:00,
ORD-1022,SKU-QW11,MUM-01,shipped,2026-01-05T09:20:00,2026-01-05T15:30:00
ORD-1023,SKU-RX77,BLR-02,pending,2026-01-05T10:45:00,
ORD-1024,SKU-JK33,DEL-02,delayed,2026-01-03T08:00:00,
ORD-1025,SKU-HH19,MUM-02,shipped,2026-01-05T07:30:00,2026-01-05T13:20:00
ORD-1026,SKU-PM72,BLR-01,pending,2026-01-06T09:00:00,
ORD-1027,SKU-TT48,DEL-01,shipped,2026-01-06T06:40:00,2026-01-06T14:10:00
ORD-1028,SKU-NV66,MUM-01,delayed,2026-01-03T12:00:00,
ORD-1029,SKU-AX12,BLR-02,pending,2026-01-06T11:15:00,
ORD-1030,SKU-BX44,DEL-02,shipped,2026-01-06T08:30:00,2026-01-06T17:40:00
ORD-1031,SKU-CM88,BLR-01,pending,2026-01-06T12:50:00,
ORD-1032,SKU-DK21,MUM-02,delayed,2026-01-04T09:10:00,
ORD-1033,SKU-LP55,DEL-01,shipped,2026-01-06T07:15:00,2026-01-06T15:00:00
ORD-1034,SKU-ZT90,BLR-02,pending,2026-01-07T08:20:00,
ORD-1035,SKU-QW11,MUM-01,delayed,2026-01-04T11:00:00,
ORD-1036,SKU-RX77,DEL-02,shipped,2026-01-07T06:10:00,2026-01-07T12:50:00
ORD-1037,SKU-JK33,BLR-01,pending,2026-01-07T09:40:00,
ORD-1038,SKU-HH19,DEL-01,delayed,2026-01-05T10:00:00,
ORD-1039,SKU-PM72,MUM-02,shipped,2026-01-07T07:00:00,2026-01-07T14:30:00
ORD-1040,SKU-TT48,BLR-02,pending,2026-01-07T11:25:00,
ORD-1041,SKU-NV66,MUM-01,delayed,2026-01-05T09:10:00,
ORD-1042,SKU-AX12,DEL-02,shipped,2026-01-07T08:40:00,2026-01-07T18:20:00
ORD-1043,SKU-BX44,BLR-01,pending,2026-01-08T06:30:00,
ORD-1044,SKU-CM88,MUM-02,delayed,2026-01-06T10:15:00,
ORD-1045,SKU-DK21,DEL-01,shipped,2026-01-08T07:10:00,2026-01-08T15:45:00
ORD-1046,SKU-LP55,BLR-02,pending,2026-01-08T09:00:00,
ORD-1047,SKU-ZT90,MUM-01,delayed,2026-01-06T11:40:00,
ORD-1048,SKU-QW11,DEL-02,shipped,2026-01-08T06:50:00,2026-01-08T13:30:00
ORD-1049,SKU-RX77,BLR-01,pending,2026-01-08T10:20:00,
ORD-1050,SKU-JK33,MUM-02,delayed,2026-01-06T12:10:00,
ORD-1051,SKU-HH19,DEL-01,shipped,2026-01-08T07:00:00,2026-01-08T14:10:00
ORD-1052,SKU-PM72,BLR-02,pending,2026-01-08T11:45:00,
ORD-1053,SKU-TT48,MUM-01,delayed,2026-01-06T09:30:00,
ORD-1054,SKU-NV66,DEL-02,shipped,2026-01-08T08:10:00,2026-01-08T16:00:00
ORD-1055,SKU-AX12,BLR-01,pending,2026-01-09T06:40:00,
ORD-1056,SKU-BX44,MUM-02,delayed,2026-01-07T10:00:00,
ORD-1057,SKU-CM88,DEL-01,shipped,2026-01-09T07:20:00,2026-01-09T15:50:00
ORD-1058,SKU-DK21,BLR-02,pending,2026-01-09T09:10:00,
ORD-1059,SKU-LP55,MUM-01,delayed,2026-01-07T11:30:00,
ORD-1060,SKU-ZT90,DEL-02,shipped,2026-01-09T06:30:00,2026-01-09T13:40:00
ORD-1061,SKU-QW11,BLR-01,pending,2026-01-09T10:45:00,
ORD-1062,SKU-RX77,MUM-02,delayed,2026-01-07T12:00:00,
ORD-1063,SKU-JK33,DEL-01,shipped,2026-01-09T07:10:00,2026-01-09T14:20:00
ORD-1064,SKU-HH19,BLR-02,pending,2026-01-09T11:30:00,
ORD-1065,SKU-PM72,MUM-01,delayed,2026-01-07T09:00:00,
ORD-1066,SKU-TT48,DEL-02,shipped,2026-01-09T08:20:00,2026-01-09T16:10:00
